id;gift_name;descripption;unit_price;avalible_quantity
1;Dominican;Sleek;63557;44923
2;HTTP Rustic Sum;function Market;11589;98042
3;Granite Florida Tasty;Soft;12666;95785
4;integrated Universal Auto;District neural;83028;71283
5;Accounts;SDD;4705;18760
6;infomediaries Cotton;Islands, quantifying JBOD;21477;53822
7;International Frozen Clothing;Kiribati Denmark invoice;64391;37243
8;Handmade SQL Public-key;magenta Account Designer;13990;70852
9;Associate bypassing up;program Handmade Digitized;78976;32825
10;Consultant;payment background;45314;21733
